Timing criticalities have been normalized to be non-negative by relaxing the required times to the maximum arrival time.

Largest timing criticality in design: 1.99723
Smallest timing criticality in design: 0
Total timing criticality in design: 1448.55

Range		0.0e+00 to 4.0e-01	4.0e-01 to 8.0e-01	8.0e-01 to 1.2e+00	1.2e+00 to 1.6e+00	1.6e+00 to 2.0e+00	
Timing criticalities in range		26			0			161			225			515			



Net #	Driver_tnode	 to_node	Timing criticality

    0	 6376		    0		1.639825
			 2289		1.663457
    1	 6960		    1		1.647908
			 2288		1.666875
    2	  364		    2		1.992793
    3	 6959		    3		1.665264
			 2264		1.656676
    4	  740		    4		1.476441
    5	 6377		    5		1.607349
    6	 6961		    6		1.628596
    7	 2299		    7		1.956106
    8	 9902		    8		1.942974
			  342		1.956113
			 2274		1.915002
    9	  368		    9		1.996266
   10	  369		   10		1.997225
   11	10578		   11		1.661756
   12	 2300		   12		1.954478
			  348		1.963113
   13	10964		   13		1.058572
			  356		1.054212
			  731		1.099900
			 1118		1.049852
			 1499		1.054212
			 1866		1.067436
			 2267		1.063076
			 2611		1.063076
			 2972		1.049852
			 3349		1.067436
			 3899		1.049780
			 4318		1.045421
			 4765		1.049707
			 5082		1.049707
			 5521		1.045421
			 5948		1.048079
			 7371		1.054285
			 7791		1.054285
			 8165		1.058644
			 8574		1.054285
			 9019		1.070095
   14	 6375		   14		1.644089
			 2272		1.670463
   15	 2298		   15		1.969234
   16	 3361		   16		1.426393
			  357		1.426393
			  733		1.476441
			 1126		1.426393
			 1491		1.435257
			 1867		1.426393
			 2260		1.426393
			 2612		1.426393
			 2990		1.426393
			 3906		1.435257
			 4314		1.430825
			 4742		1.435185
			 5089		1.435185
			 5528		1.435185
			 5929		1.433484
			 7363		1.421961
			 7792		1.426393
			 8166		1.421961
			 8575		1.421961
			 9012		1.463217
			 9442		1.467505
   17	   17		 2285		1.116900
			 6605		1.988502
			11120		1.036798
   18	   18		  345		1.969234
   19	   19		 2268		1.109894
			 6606		1.988575
			11108		1.050215
   20	   20		 6607		1.984069
			11105		1.032705
   21	   21		  730		1.106668
			 6608		1.984143
			10553		1.116985
			11102		1.041176
   22	11255		   22		0.000000
			  370		0.000000
			  749		0.000000
			 1142		0.000000
			 1515		0.000000
			 1883		0.000000
			 2301		0.000000
			 2649		0.000000
			 3010		0.000000
			 3364		0.000000
			 3917		0.000000
			 4335		0.000000
			 4773		0.000000
			 5105		0.000000
			 5543		0.000000
			 5957		0.000000
			 7384		0.000000
			 7807		0.000000
			 8181		0.000000
			 8588		0.000000
			 9038		0.000000
   23	 2296		  343		1.962155
   24	 6372		  344		1.659952
			 9897		1.751769
   25	 6955		  346		1.702213
			 2633		1.712693
   26	 2641		  347		1.933525
			 2278		1.846889
   27	 6371		  349		1.685265
			 2263		1.706154
			 2622		1.713329
   28	 2294		  350		1.175733
			 2628		1.194932
			 6600		1.988575
			11141		1.050288
   29	 6373		  351		1.659952
			 2290		1.695765
			 9883		1.667732
   30	 2644		  352		1.971820
   31	 2648		  353		1.971820
   32	  745		  354		1.997225
			 2261		1.914949
   33	 6957		  355		1.655060
   34	 6370		  358		1.689697
			 2262		1.714945
			 2613		1.717688
   35	 2293		  359		1.963113
			 2607		1.977953
   36	 2643		  360		1.967479
   37	 6956		  361		1.659492
   38	 2645		  362		1.977953
   39	  363		 2269		1.183470
			 2604		1.168485
			 6601		1.988575
			11138		1.041569
   40	  365		 2270		1.975313
   41	  366		 2277		1.155425
			 6603		1.988575
			 9896		1.131825
			11129		1.036817
   42	  367		 6602		1.988575
			 9879		1.206998
			11132		1.037137
   43	 6952		  722		1.712625
			 2618		1.663924
   44	 6951		  723		1.738833
   45	 1135		  724		1.838044
   46	 6950		  725		1.789331
			 1110		1.778923
   47	 6367		  726		1.826913
   48	 6368		  727		1.730809
			 2265		1.751709
			 2603		1.700105
   49	 6365		  728		1.777010
			 1121		1.771034
			 2600		1.777010
   50	 9026		  729		1.895224
   51	 2291		  732		1.982385
			 2617		1.898408
   52	 6366		  734		1.777010
			 1116		1.766602
			 2605		1.772578
   53	 2639		  735		1.997225
			 1111		1.986817
   54	10243		  736		1.880239
   55	 1137		  737		1.997225
   56	  738		 1129		1.997225
   57	  739		 1114		1.230622
			 2606		1.254182
